filename,path,filename_timestamp,first_canonical_date,entry_count,git_status,in_rebuild_index,thread_group,supersession_note
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-1600.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-1600.md","20260209-1600","2026-02-09","4","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-2145.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-2145.md","20260209-2145","2026-02-09","5","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-2230.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-2230.md","20260209-2230","2026-02-09","8","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-2235.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-2235.md","20260209-2235","2026-02-09","8","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-2243.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-2243.md","20260209-2243","2026-02-09","17","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260209-2245.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260209-2245.md","20260209-2245","2026-02-09","10","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260210-1835.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260210-1835.md","20260210-1835","2026-02-10","5","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HCV-VM-EXTRACT-002_20260210-2310.md","02_VM_DELTAS/2026-02/VM_DELTA_HCV-VM-EXTRACT-002_20260210-2310.md","20260210-2310","2026-02-10","7","staged","yes","HCV-VM-EXTRACT-002",""
"VM_DELTA_HDS-NET-HEBER_20260209-1430.md","02_VM_DELTAS/2026-02/VM_DELTA_HDS-NET-HEBER_20260209-1430.md","20260209-1430","2026-02-09","13","staged","yes","standalone",""
"VM_DELTA_HEBER-CAMPUS_20260207-2300.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER-CAMPUS_20260207-2300.md","20260207-2300","2026-02-07","18","committed","yes","standalone",""
"VM_DELTA_HEBER_AUTONOMOUS_CAMPUS_20260207-0001.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER_AUTONOMOUS_CAMPUS_20260207-0001.md","20260207-0001","2026-02-07","31","committed","yes","standalone",""
"VM_DELTA_HEBER_BIOMASS_SOEC_TRIMHEAT_20260207-2326.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER_BIOMASS_SOEC_TRIMHEAT_20260207-2326.md","20260207-2326","2026-02-07","9","committed","yes","LoopB-Biomass-cluster",""
"VM_DELTA_HEBER_CAMPUS_H2_POWER_BALANCE_20260207-2338.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER_CAMPUS_H2_POWER_BALANCE_20260207-2338.md","20260207-2338","2026-02-07","11","committed","yes","standalone",""
"VM_DELTA_HEBER_NUC_PIVOT_20260207-2317.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER_NUC_PIVOT_20260207-2317.md","20260207-2317","2026-02-07","10","committed","yes","standalone",""
"VM_DELTA_HEBER_OSYE_ORBITAL_LOGISTICS_20260207-2314.md","02_VM_DELTAS/2026-02/VM_DELTA_HEBER_OSYE_ORBITAL_LOGISTICS_20260207-2314.md","20260207-2314","2026-02-07","16","committed","yes","standalone",""
"VM_DELTA_HOLBROOK_DUAL_CAMPUS_20260209-1510.md","02_VM_DELTAS/2026-02/VM_DELTA_HOLBROOK_DUAL_CAMPUS_20260209-1510.md","20260209-1510","2026-02-09","9","staged","yes","standalone",""
"VM_DELTA_Heber-Campus-VM-EXTRACT-002_20260210-1512.md","02_VM_DELTAS/2026-02/VM_DELTA_Heber-Campus-VM-EXTRACT-002_20260210-1512.md","20260210-1512","2026-02-09","6","staged","yes","HCV-VM-EXTRACT-002 (variant naming)",""
"VM_DELTA_HeberCampus_20251227-2355.md","02_VM_DELTAS/2026-02/VM_DELTA_HeberCampus_20251227-2355.md","20251227-2355","2025-12-27","14","committed","yes","HeberCampus-baseline",""
"VM_DELTA_HeberCampus_20260207-0318.md","02_VM_DELTAS/2026-02/VM_DELTA_HeberCampus_20260207-0318.md","20260207-0318","2026-02-07","8","committed","yes","HeberCampus-baseline",""
"VM_DELTA_HeberCampus_20260209-1505.md","02_VM_DELTAS/2026-02/VM_DELTA_HeberCampus_20260209-1505.md","20260209-1505","2026-02-09","3","staged","yes","HeberCampus-baseline",""
"VM_DELTA_HeberCampus_SOEC_DC_20260207-2330.md","02_VM_DELTAS/2026-02/VM_DELTA_HeberCampus_SOEC_DC_20260207-2330.md","20260207-2330","2026-02-07","7","committed","yes","standalone",""
"VM_DELTA_HeberCampus_VMExtract_20260208-2359.md","02_VM_DELTAS/2026-02/VM_DELTA_HeberCampus_VMExtract_20260208-2359.md","20260208-2359","2026-02-08","5","staged","yes","HeberCampus-baseline",""
"VM_DELTA_Heber_Campus_Update_20260207-2359.md","02_VM_DELTAS/2026-02/VM_DELTA_Heber_Campus_Update_20260207-2359.md","20260207-2359","2026-02-07","4","committed","yes","standalone",""
"VM_DELTA_Heber_Global_Roadmap_20260208-0030.md","02_VM_DELTAS/2026-02/VM_DELTA_Heber_Global_Roadmap_20260208-0030.md","20260208-0030","2026-02-08","13","committed","yes","standalone",""
"VM_DELTA_Helium_Strategy_20260209-2140.md","02_VM_DELTAS/2026-02/VM_DELTA_Helium_Strategy_20260209-2140.md","20260209-2140","2026-02-09","6","staged","yes","standalone",""
"VM_DELTA_INTERCAMPUS_SUPERCLUSTER_20260209-2130.md","02_VM_DELTAS/2026-02/VM_DELTA_INTERCAMPUS_SUPERCLUSTER_20260209-2130.md","20260209-2130","2026-02-09","11","staged","yes","standalone",""
"VM_DELTA_Nuclear_SOEC_Roadmap_20260209-1430.md","02_VM_DELTAS/2026-02/VM_DELTA_Nuclear_SOEC_Roadmap_20260209-1430.md","20260209-1430","2026-02-09","15","staged","yes","standalone",""
"VM_DELTA_REGULATORY_LIBRARY_BUILD_20260209-1625.md","02_VM_DELTAS/2026-02/VM_DELTA_REGULATORY_LIBRARY_BUILD_20260209-1625.md","20260209-1625","2026-02-09","11","staged","yes","standalone",""
"VM_DELTA_RLM_Harness_Citation_Fix_20260209-1415.md","02_VM_DELTAS/2026-02/VM_DELTA_RLM_Harness_Citation_Fix_20260209-1415.md","20260209-1415","2026-02-09","7","staged","yes","standalone",""
"VM_DELTA_SDC_COMMS_PROJECTILE_20260207-2358.md","02_VM_DELTAS/2026-02/VM_DELTA_SDC_COMMS_PROJECTILE_20260207-2358.md","20260207-2358","2026-02-07","6","committed","yes","standalone",""
"VM_DELTA_SOECDegMonitoring_20260209-1335.md","02_VM_DELTAS/2026-02/VM_DELTA_SOECDegMonitoring_20260209-1335.md","20260209-1335","2026-02-09","8","staged","yes","standalone",""
"VM_DELTA_SOEC_MECSAI_Vendor_Monitoring_20260209-1420.md","02_VM_DELTAS/2026-02/VM_DELTA_SOEC_MECSAI_Vendor_Monitoring_20260209-1420.md","20260209-1420","2026-02-09","11","staged","yes","standalone",""
"VM_DELTA_AEGIS_SOFTWARE_LOGO_20260430-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_AEGIS_SOFTWARE_LOGO_20260430-0000.md","20260430-0000","2026-04-30","3","untracked","no","Aegis-cluster",""
"VM_DELTA_AP1000_FLEET_CAPEX_CFO_20260413-2359.md","02_VM_DELTAS/2026-04/VM_DELTA_AP1000_FLEET_CAPEX_CFO_20260413-2359.md","20260413-2359","2026-04-13","17","untracked","no","standalone",""
"VM_DELTA_ATB_AEGIS_COMPLIANCE_20260430-1300.md","02_VM_DELTAS/2026-04/VM_DELTA_ATB_AEGIS_COMPLIANCE_20260430-1300.md","20260430-1300","2026-04-30","8","untracked","no","Aegis-cluster",""
"VM_DELTA_BIOMASS_PHASING_VERIFICATION_20260430-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_BIOMASS_PHASING_VERIFICATION_20260430-0000.md","20260430-0000","2026-04-30","10","untracked","no","LoopB-Biomass-cluster",""
"VM_DELTA_CAD_GIS_PIPELINE_AEGIS_INTEGRATION_20260429-2359.md","02_VM_DELTAS/2026-04/VM_DELTA_CAD_GIS_PIPELINE_AEGIS_INTEGRATION_20260429-2359.md","20260429-2359","2026-04-29","14","untracked","no","Aegis-cluster",""
"VM_DELTA_CHAT_CONTINUITY_AND_MARKET_DOCTRINE_20260429-0001.md","02_VM_DELTAS/2026-04/VM_DELTA_CHAT_CONTINUITY_AND_MARKET_DOCTRINE_20260429-0001.md","20260429-0001","2026-04-29","14","untracked","no","standalone",""
"VM_DELTA_FED_POLICY_IMPACT_HEBER_20260430-1300.md","02_VM_DELTAS/2026-04/VM_DELTA_FED_POLICY_IMPACT_HEBER_20260430-1300.md","20260430-1300","2026-04-30","14","untracked","no","standalone",""
"VM_DELTA_HEBER_REV42_WATER_LOOPB_20260430-1347.md","02_VM_DELTAS/2026-04/VM_DELTA_HEBER_REV42_WATER_LOOPB_20260430-1347.md","20260430-1347","2026-02-27","17","untracked","no","HEBER-REV42",""
"VM_DELTA_HOLBROOK_INDUSTRIAL_STACK_20260429-2355.md","02_VM_DELTAS/2026-04/VM_DELTA_HOLBROOK_INDUSTRIAL_STACK_20260429-2355.md","20260429-2355","2026-04-29","22","untracked","no","standalone",""
"VM_DELTA_LITIGATION_OVERLAY_20260413-2305.md","02_VM_DELTAS/2026-04/VM_DELTA_LITIGATION_OVERLAY_20260413-2305.md","20260413-2305","2026-04-13","10","untracked","no","standalone",""
"VM_DELTA_LOCAL_GOVERNANCE_SEQUENCING_20260430-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_LOCAL_GOVERNANCE_SEQUENCING_20260430-0000.md","20260430-0000","2026-04-30","6","untracked","no","standalone",""
"VM_DELTA_LOOPB_BIOMASS_REVC_20260430-0015.md","02_VM_DELTAS/2026-04/VM_DELTA_LOOPB_BIOMASS_REVC_20260430-0015.md","20260430-0015","2026-04-30","27","untracked","no","LoopB-Biomass-cluster",""
"VM_DELTA_MECSAI_SENSOR_TRACKING_20260429-2225.md","02_VM_DELTAS/2026-04/VM_DELTA_MECSAI_SENSOR_TRACKING_20260429-2225.md","20260429-2225","2026-04-29","5","untracked","no","standalone",""
"VM_DELTA_NAVAJO_COUNTY_PERMITTING_IMPACT_20260413-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_NAVAJO_COUNTY_PERMITTING_IMPACT_20260413-0000.md","20260413-0000","2026-04-13","8","untracked","no","standalone",""
"VM_DELTA_PRE_PHASE1_STRATEGY_20260430-1325.md","02_VM_DELTAS/2026-04/VM_DELTA_PRE_PHASE1_STRATEGY_20260430-1325.md","20260430-1325","2026-04-30","12","untracked","no","standalone",""
"VM_DELTA_REGULATORY_REPOSITORY_20260430-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_REGULATORY_REPOSITORY_20260430-0000.md","20260430-0000","2026-04-30","6","untracked","no","Regulatory-Repository-cluster",""
"VM_DELTA_REGULATORY_REPOSITORY_BUILD_20260430-1315.md","02_VM_DELTAS/2026-04/VM_DELTA_REGULATORY_REPOSITORY_BUILD_20260430-1315.md","20260430-1315","2026-04-30","9","untracked","no","Regulatory-Repository-cluster",""
"VM_DELTA_ROW_PACKAGE_INIT_20260430-2355.md","02_VM_DELTAS/2026-04/VM_DELTA_ROW_PACKAGE_INIT_20260430-2355.md","20260430-2355","2026-04-30","11","untracked","no","standalone",""
"VM_DELTA_SOEC_VENDOR_INTERFACE_20260429-0000.md","02_VM_DELTAS/2026-04/VM_DELTA_SOEC_VENDOR_INTERFACE_20260429-0000.md","20260429-0000","2026-04-29","6","untracked","no","standalone",""
"VM_DELTA_VM_DELTA_LOGGING_DOCTRINE_20260430-0005.md","02_VM_DELTAS/2026-04/VM_DELTA_VM_DELTA_LOGGING_DOCTRINE_20260430-0005.md","20260430-0005","2026-04-30","8","untracked","no","standalone",""
"VM_DELTA_VM_GOVERNANCE_UPDATE_20260429-2359.md","02_VM_DELTAS/2026-04/VM_DELTA_VM_GOVERNANCE_UPDATE_20260429-2359.md","20260429-2359","2026-04-29","5","untracked","no","standalone",""
"VM_DELTA_WATER_STRATEGY_REFINEMENT_20260413-2300.md","02_VM_DELTAS/2026-04/VM_DELTA_WATER_STRATEGY_REFINEMENT_20260413-2300.md","20260413-2300","2026-04-13","9","untracked","no","Water-Strategy-cluster",""
