timestamp,thread_name,chat_file,delta_file,vm_version,commit_hash,status,notes
20260208-0030,Heber_Global_Roadmap,CHAT_Heber_Global_Roadmap_20260208-0030.md,VM_DELTA_Heber_Global_Roadmap_20260208-0030.md,20260208-0030,7c07dbd,APPLIED,historical (committed pre-recovery)
20260209-2140,Helium_Strategy,—,VM_DELTA_Helium_Strategy_20260209-2140.md,20260209-2140,fc9ee97,APPLIED,historical (committed pre-recovery)
20260209-2130,INTERCAMPUS_SUPERCLUSTER,—,VM_DELTA_INTERCAMPUS_SUPERCLUSTER_20260209-2130.md,20260209-2130,c068268,APPLIED,historical (committed pre-recovery)
20260209-1430,Nuclear_SOEC_Roadmap,—,VM_DELTA_Nuclear_SOEC_Roadmap_20260209-1430.md,20260209-1430,d19b9c9,APPLIED,historical (committed pre-recovery)
20260209-1625,REGULATORY_LIBRARY_BUILD,—,VM_DELTA_REGULATORY_LIBRARY_BUILD_20260209-1625.md,20260209-1625,3130d7e,APPLIED,historical (committed pre-recovery)
20260209-1415,RLM_Harness_Citation_Fix,—,VM_DELTA_RLM_Harness_Citation_Fix_20260209-1415.md,20260209-1415,ddab850,APPLIED,historical (committed pre-recovery)
20260207-2358,SDC_COMMS_PROJECTILE,CHAT_SDC_COMMS_PROJECTILE_20260207-2358.md,VM_DELTA_SDC_COMMS_PROJECTILE_20260207-2358.md,20260207-2358,4497456,APPLIED,historical (committed pre-recovery)
20260209-1335,SOECDegMonitoring,—,VM_DELTA_SOECDegMonitoring_20260209-1335.md,20260209-1335,17bf0c2,APPLIED,historical (committed pre-recovery)
20260209-1420,SOEC_MECSAI_Vendor_Monitoring,—,VM_DELTA_SOEC_MECSAI_Vendor_Monitoring_20260209-1420.md,20260209-1420,9839848,APPLIED,historical (committed pre-recovery)
20260430-0000,AEGIS_SOFTWARE_LOGO,—,VM_DELTA_AEGIS_SOFTWARE_LOGO_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2359,AP1000_FLEET_CAPEX_CFO,—,VM_DELTA_AP1000_FLEET_CAPEX_CFO_20260413-2359.md,20260413-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1300,ATB_AEGIS_COMPLIANCE,—,VM_DELTA_ATB_AEGIS_COMPLIANCE_20260430-1300.md,20260430-1300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,BIOMASS_PHASING_VERIFICATION,—,VM_DELTA_BIOMASS_PHASING_VERIFICATION_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2359,CAD_GIS_PIPELINE_AEGIS_INTEGRATION,—,VM_DELTA_CAD_GIS_PIPELINE_AEGIS_INTEGRATION_20260429-2359.md,20260429-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-0001,CHAT_CONTINUITY_AND_MARKET_DOCTRINE,—,VM_DELTA_CHAT_CONTINUITY_AND_MARKET_DOCTRINE_20260429-0001.md,20260429-0001,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1300,FED_POLICY_IMPACT_HEBER,—,VM_DELTA_FED_POLICY_IMPACT_HEBER_20260430-1300.md,20260430-1300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1347,HEBER_REV42_WATER_LOOPB,—,VM_DELTA_HEBER_REV42_WATER_LOOPB_20260430-1347.md,20260430-1347,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2355,HOLBROOK_INDUSTRIAL_STACK,—,VM_DELTA_HOLBROOK_INDUSTRIAL_STACK_20260429-2355.md,20260429-2355,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2305,LITIGATION_OVERLAY,—,VM_DELTA_LITIGATION_OVERLAY_20260413-2305.md,20260413-2305,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,LOCAL_GOVERNANCE_SEQUENCING,—,VM_DELTA_LOCAL_GOVERNANCE_SEQUENCING_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0015,LOOPB_BIOMASS_REVC,—,VM_DELTA_LOOPB_BIOMASS_REVC_20260430-0015.md,20260430-0015,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2225,MECSAI_SENSOR_TRACKING,—,VM_DELTA_MECSAI_SENSOR_TRACKING_20260429-2225.md,20260429-2225,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-0000,NAVAJO_COUNTY_PERMITTING_IMPACT,—,VM_DELTA_NAVAJO_COUNTY_PERMITTING_IMPACT_20260413-0000.md,20260413-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1325,PRE_PHASE1_STRATEGY,—,VM_DELTA_PRE_PHASE1_STRATEGY_20260430-1325.md,20260430-1325,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0000,REGULATORY_REPOSITORY,—,VM_DELTA_REGULATORY_REPOSITORY_20260430-0000.md,20260430-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1315,REGULATORY_REPOSITORY_BUILD,—,VM_DELTA_REGULATORY_REPOSITORY_BUILD_20260430-1315.md,20260430-1315,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-2355,ROW_PACKAGE_INIT,—,VM_DELTA_ROW_PACKAGE_INIT_20260430-2355.md,20260430-2355,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-0000,SOEC_VENDOR_INTERFACE,—,VM_DELTA_SOEC_VENDOR_INTERFACE_20260429-0000.md,20260429-0000,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-0005,VM_DELTA_LOGGING_DOCTRINE,—,VM_DELTA_VM_DELTA_LOGGING_DOCTRINE_20260430-0005.md,20260430-0005,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260429-2359,VM_GOVERNANCE_UPDATE,—,VM_DELTA_VM_GOVERNANCE_UPDATE_20260429-2359.md,20260429-2359,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260413-2300,WATER_STRATEGY_REFINEMENT,—,VM_DELTA_WATER_STRATEGY_REFINEMENT_20260413-2300.md,20260413-2300,d8569f1,APPLIED,recovered via HCV-VM-RECOVERY-001 Path A Apr batch
20260430-1930,GITHUB_CANONICAL_AUTHORITY,—,VM_DELTA_GITHUB_CANONICAL_AUTHORITY_20260430-1930.md,20260430-1930,f52cb26,APPLIED,established post-recovery; doctrine self-applied per VM_DELTA_LOGGING_DOCTRINE
